,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
0,新宿,時間,オープン,店,仕事,帰り道,焼き鳥,提灯,明かり,店,発見,朝,何,腹,邪魔,事,メニュー,焼き鳥,一品,料理,ラインナップ,豊富,注文,日,丁度,冷奴,茄子,揚げ,オーダー,茄子,揚げ,好物,メニュー,必然的,提供,揚げ,茄子,揚げ,茄子,出汁,茄子,安心,焼き鳥,壁,店,焼き,串,ランキング,張り出し,参考,注文,事,皮,ジューシー,脂,感,レバー,臭み,舌触り,旨み,脂,一本,肉,肉,旨み,内容,タレ,卵黄,組み合わせ,抜群,明太,火入れ,明太子,個性,焼き鳥,ランキング,明太,レバー,店,部位,ハズレ,焼き,串,事,全て,個性,的,焼き,加減,ランキング,間違い,黒蜜きなこ,バニラアイス,デザート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,新宿駅,東口,信号,アルタ,方,歌舞伎町一番街,方,歌舞伎町一番街,左,右側,店,オープン,美,桜,鶏,育成,方法,飼料,鶏,健康,第一,オリジナル,ブランド,鶏,産地,山梨県,長野県,静岡県,富士山,系,南アルプス,連峰,大自然,恵み,ストレス,健やか,上記,品,他,手羽先,砂肝,メニュー,阿波尾鶏,ジューシー,旨み,鶏肉,好き,ポン酢,味,阿波尾鶏,徳島県,ブランド,鶏,阿波踊り,阿波尾鶏,料理,時間,注文,際,前半,オーダー,方,メニュー,レバ刺し,新鮮,クセ,レバー,好き,オススメ,数量限定,逸品,鶏ガラ,鶏ガラスープ,マッチ,麺,好き,逸品,麺料理,一種,麺,出汁,奈良県,発祥,郷土料理,デザート,黒蜜,アイス,黒蜜,アイス,絶妙,メニュー,トマト,アボカド,サラダ,トマト,アボカド,ドレッシング,マッチ,逸品,肉,サラダ,感じ,サラダ,オーダー,ドリンク,生ビール,ハイボール,何,杯,生ビール,ハイボール,飲み過ぎ,気,営業,時間,鶏,料理,好き,オススメ,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,新宿,西武新宿線,新宿駅,近く,鳥,京,平日,土日,オープン,店,時間,扉,オープン,雰囲気,買い物,後,焼鳥,生ビール,季節,テーブル席,カウンター,席,テレビ,時間帯,情報番組,野球中継,一杯,乙,一人,サマ,オーダー,店,方,対面,式,最近,タッチパネル,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,立川駅,菊松,食堂,価値,菊松,食堂,土曜日,オープン,同時,来店,店内,程,人,人気,店,菊松,食堂,店内,女の子,同士,年配,人,若者,店,証し,メニュー,本格,炭火,焼,干物,種類,フライ,ステーキ,料理,写真,手,料理,料理,時間,店,アジ,フライ,カキフライ,唐揚げ,本格,炭火,焼,干物,〆さば,タコ,ステーキ,卵,サラダ,アイス,白子,馬刺し,エンガワ,ユッケ,グラタン,コロッケ,栃尾,揚げ,イカ,ゴロ,焼き,モツ煮,枝豆,全部,本格,炭火,焼,干物,魚,関係,料理,久しぶり,料理,手抜き,盛り,付け,食用,タンポポ,フライ,タルタルソース,ツナ,料理,手抜き,一切,菊松,食堂,立川,ランチ,本格,炭火,焼,干物,今度,ランチ,本格,炭火,焼,干物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,立川駅,北口,モノレール,伊勢丹,立川,店,立川,高島屋,遊歩道,立川,ステージ,ガーデン,ソラノホテル,商業施設,オフィス,等,構成,複合施設,モノレール,向かい側,建物,階,位置,菊松,食堂,隣,菊松,食堂,メイン,店内,週末,土曜日,天気,ランチ,オープン,テラス,店頭,メニュー,他,店舗,リーズナブル,菊松,食堂,チョイス,広島,産,大粒,カキフライ,定食,鶏,竜田揚げ,定食,オーダー,味,普通,テラス,席,陽気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,愛,休日,グリーンスプリングス,前,菊松,食堂,奥様,先日,寄り,アダムス,オーサム,パイ,今週,ハコヅメ,店,合コン,シーン,向かい,グリスプ,デートシーン,来週,菊松,食堂,奥様,何,度,食べに,様子,私,定食,モード,時,満席,テラス,席,愛犬,食べに,来,発見,愛犬,席,店内,間,カツカレー,他所,テーブル,久方ぶり,豚キムチ,定食,奥様,事,個,定食,発注,武蔵村山,下田,畜産,厳選,豚肉,使用,次回,是非,野球,事,共用,頭皮マッサージ,ャー,事,話,注文,品々,写真,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,下北沢カレーフェスティバル,軒,目,カレー,軒,食,濃厚,海老,バターカレーハーフサイズ,少なめ,バター,カレー,海老,風味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,カフェ,時間帯,来店,メニュー,一杯,目,モヒート,モヒート,コーヒー,店,午前11時,半,翌朝,昼飲み,良さ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,マンゴー,ケーキ,注文,小さめ,ケーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,新宿駅,新宿三丁目駅,間,居酒屋,密集,エリア,店内,室,個室,今,時期,他,接触,安心,トイレ,時,要注意,レンゲ,豆腐,種,トマト,味,変化,手,手軽,盛り合わせ,マグロ,サーモン,カツオ,鯛,盛り,肉,厚,大ぶり,切れ,人前,脂,焼き鳥,盛り合わせ,タレ,味,種,タレ,野菜,焼き鳥,盛り合わせ,塩味,種,塩味,白子,焼き,塩気,酒のつまみ,タコ,唐揚げ,醤油,ニンニク,レモン,手羽先,味,外側,パリ,中,プリッ,手頃,価格,量,若者,人気,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,無制限,飲み放題,個室居酒屋,新宿,店,-2,東京都新宿区新宿,-3,永和,商事,ビル,新宿,東南,口,徒歩,数,分,位置,個室居酒屋,鍋,魅力的,占い師,シウマ,待,受,鍋,写真,ローストビーフ,長芋,上,ワサビ,マグロ,予想,以上,脂,焼き,柚子胡椒,下,キャベツ,明太子,玉子焼き,間,明太子,間,トッピング,出汁,玉子焼き,鍋,明太,痛風,鍋,チゲ,チゲ鍋,辛さ,控えめ,若干,苦手,方,イケ,気,後,クーポン,無料,肉寿司,満腹,ストップ,中,飲み放題,得,クーポン,ハッピーアワー,時間,利用,得,物,長芋,地鶏,一,枚,焼き,明太子,玉子焼き,米沢,豚,チゲ鍋,物,生ビール,ハイボール,トマト,ハイ,出羽,桜,酒場,レモンサワー,店,雰囲気,セピア色,江戸時代,雰囲気,個室,安心,店,方,東口,東南,口,ドンキホーテ,裏側,ビル,一,階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,個室居酒屋,新宿駅,東南,口,徒歩,場所,店,飲み放題,得,居酒屋,平日,予約,店内,席,造り,基本的,客室,個室,半,個室,他,気,食事,メニュー,食べ放題,時間,無制限,飲み放題,セット,コース,豊富,用意,ドリンク,アラカルト,注文,可能,圧倒的,放題,得,日,料理,アラカルト,ドリンク,時間,無制限,飲み放題,注文,注文,料理,ラインナップ,ローストビーフ,刺身,盛り合わせ,炭火焼き,串,明太子,魚介,料理,肉料理,品,堪能,明太子,モツ鍋,ニラ,明太子,豪快,投入,スープ,ベース,西京味噌,麻,辣,白湯,塩,種類,モツ,旨味,明太子,旨味,一品,特製,チキン南蛮,大山,鶏,モモ肉,使用,ボリューム,一品,食感,クセ,際,注文,必須,一品,喫煙,飲み放題,リーズナブル,機会,再訪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,品川駅高輪口,プリンスホテル,方面,ウィング,高輪,韓国料理,オジョリ,ディナー,タイム,何,度,邪魔,平日,ランチ,時,前,席,案内,韓流,セット,ランチ,豪華,ランチ,石,焼,明太,ビビンパ,唐辛子,マーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,散歩,途中,ランチ,店,駅前,プリンス,訪問,何,店舗,営業,入口,左,右,ランチ,メニュー,豊富,夫,入店,韓流,プレミアム,セット,ハラミ,ランチ,上,勝手,焼肉,残念,スープ,ドリンク,セット,結構,スープ,卵,スープ,マイルド,ドリンク,マンゴー,ジュース,韓流,セット,冷麺,ビビンパ,セット,ボリューム,盛岡冷麺,甘み,スープ,麺,ビビンパ,ハーフ,結構,ボリューム,私,一番,好み,マイルド,味,調和,飲み物,ショウガ,茶,サラダ,前菜,漬物,夫,シェア,一,杯,店,清潔,店内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,品川,水族館,アクアパーク,夜,夜,カップル,良さ,夜,イルカショー,今どき,プロジェクションマッピング,ショー,融合,音,光,水,イルカ,達,大人,年パス,元,夜,ショー,人,近く,年,パス,何度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,富山県,食材,日本酒,富山,産,店,店主,富山出身,ビール,乾杯,エール,注文,会計,渋谷駅,徒歩,数,分,好立地,分,値段,食べログ,アプリ,予約,飲み放題,付き,コース,方,安,牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,渋谷駅,周辺,一杯,軒,井の頭線,渋谷駅,界隈,店,店,感じ,清潔感,テーブル席,案内,活気,期待,生ビール,店,歩いた,ビール,メニュー,富山,料理,ホタルイカ,昆布巻き,注文,ホタルイカ,風味,味,濃厚,ビール,レモンサワー,席,カウンター,移動,一杯,時,昆布巻き,昆布,風味,味わい,レモンサワー,料理,桜海老,鱒,富山名物,次回,腰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,富山弁,馴染み,富山,方言,富山,居酒屋,ヨイチャベ,ランチタイム,昼,定食,中,氷見,ブリ,刺身,マグロ,叩き,水分,控えめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,道玄坂,店,渋谷駅,神泉駅,方,道玄,坂,チンチロリンハイボールチャレンジ,結局,半額,タン,三種,盛り合わせ,タン,三種,キムチ,盛り合わせ,定番,メニュー,盛り合わせ,定番,メニュー,裏,ユッケ,裏メニュー,カルビ,卵の黄身,個人的,韓国,風,大きめ,カット,半殺しキムチ,高菜,ハラミ,普通,酒,会計,名,予約,必須,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,渋谷,道玄坂,友達,焼肉,事,渋谷,駅,キムチ,ナムル,盛り合わせ,私,大好き,カルビ,ハラミ,ロース,ジューシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,渋谷,三,店舗,渋谷道玄坂,店,邪魔,来店,度,来店,ポイント,来店,回数,ドリンク,サイズ,アップ,ヨーグルト,ドリンク,全部,店員,一番,提供,苦手,方,焼き,奉行,方,今回,夜,カルビ,品切れ,残念,メニュー,半殺しキムチ,盛り,ポテトサラダ,和牛,カルビ,特,上,厚,切り,塩,タン,旨辛,ラーメン,半殺しキムチ,一緒,辛,ウマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,量,バラエティー,豊か,他,皆さん,通り,串焼き,方,丁寧,好きな人,飲み放題,味,大通り,人,感じ,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,名,同窓会,店,個室,予約,可,店,邪魔,古民家,改造,店,造り,カウンター,席,等,系,グループ,向け,テーブル席,古民家,ワン,フロア,ブチ,テーブルレイアウト,独立,性,小,区切り,スペース,感じ,結果,私達,席,密閉,タイプ,個室,隣席,他人,気,若干,料理,飲み放題,付き,三,五,八,名物,コース,博多,酢,キャベツ,特製,釜,肉,豆腐,博多,串焼,野菜,巻き,串,本,盛り,博多,餃子,友人,間,野菜,巻,串,新鮮,肉,豆腐,釜,餃子,味,濃いめ,ユニーク,最後,麺,麺,団体,宴会,一品,一,品,評価,全体,構成,分量,好評,古民家,風,店内,幹事,胸,料理,提供,提供,ピーク時,遅れ,順番,前後,スタッフ,方,対応,丁寧,不満,程,幹事,友人,会,点,気がかり,店,雰囲気,料理,構成,スタッフ,対応,合格点,大変,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,東京,博多,串焼,野菜,巻き,串,オシャレ,店内,飲み放題,ドリンク,メニュー,充実,更新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,天丼,セット,蕎麦,天丼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,今回,ビアテラスプラン,利用,気温,ブランケット,ホッカイロ,外,気温,時,利用,オススメ,料理,前回,内容,味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,自由が丘駅,北口,前,天ぷら,居酒屋,天寅,二,訪店,平日,開店,半,過ぎ,席,屋内,席,テラス,注文,鶏,親子,天丼,ワカメ,味噌汁,小鉢,味付け,天つゆ,鶏,天,ムネ肉,煮卵,天ぷら,食感,天ぷら,新鮮,海鮮,天ぷら,野菜,天,三,種,アクセント,完,食,今日,利便性,高い,立地,メニュー,豊富,味,ボリューム,利用,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,不忍,口,出て,アメ横,方面,上野,飲み屋,街,場所,店,日曜,午後,辺り,最近,個室居酒屋,店内,全,卓,完全,個室,席,クッション,最高,腰,笑,牛タン,カルパッチョ,¥880,☑,牛タン,焼き,¥780,☑,塩,豆腐,¥480,☑,鶏,軟骨,揚げ,¥590,☑,アボカドサーモンマヨ,¥880,牛タン,メニュー,充実,食べ方,オーダー,際,山芋,一夜漬け,注文,別,注文,一言,店員,私,好き,全体的,料理,ボリューミー,コスパ,牛タン,値段,居酒屋,焼肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,友人,アメ横,買い物,後,駅,近,新,店舗,来店,久々,再会,話,完全,個室,席,タン,フェア,ガッツリ,肉付き,私,スライス,山芋,胃,大好き,ハイボール,注文,分量,炭酸,酒肴,玉子,塩,豆腐,注文,玉子,醤油,付け,合わせ,カラシ,玉子,カラシ,提供,店,塩,豆腐,自家製,豆腐,クリーミー,上,白,ネギ,塩昆布,食感,タン,メニュー,注文,スープ,旨味,タン,最高,伝説,味,品,焼き餃子,注文,焼き餃子,皮,具材,パンパン,ジューシー,肉汁,箸,手羽先,皮,食感,一本,一本,腕,酒,蒸し,注文,スープ,出汁,凝縮,身体,店員,元気,対応,駅,近,コスパ,料理,絶対,人気,繁盛,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,今日,上野公園,上野動物園,蔓延,防止,解除,土曜日,人,早め,事,頃,人,個室,店,店,発見,空席,個室,事,レモンサワー,乾杯,一杯,グラス,出世,レモンサワー,今回,食事,メイン,事,メニュー,タン,刺し,食感,限り,生,柚子胡椒,相性,バッグ,タン,タン,サッパリ,味付け,タン,食感,一品,事,店,牛タン,柔らか,焼き餃子,個,中,肉汁,鉄板,熱々,肉汁,火傷,注意,笑,手羽先,値段,ボリューム,心配,衣,ジューシー,肉,レモンサワー,相性,抜群,ペロリ,笑,玉子,居酒屋,メニュー,中,味,塩豆,富,塩,ダレ,豆腐,合い,家,真似,酒,蒸し,身,旨味,濃厚,ポテト,時,オススメ,店員,接客,上野,個室,店,方,店,機会,利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,噂,エビ,チーズフォンデュ,ホンデポチャ,イケメン通り,隣,通り,公園,目,前,予約,必須,店,予約,先客,組,エビチーズフォンデュチキン,時,手,骨なし,衣,ソース,生,玉ねぎ,全く,辛み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
